date,temperature_2m_mean,precipitation_sum,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,wind_speed_10m_max,sunshine_duration,year
2022-11-25,9.662749,0.9000001,12.2565,5.9065,88.52424,28.442278,12315.582,2022
2022-11-26,11.316917,10.8,12.7565,9.2565,92.49709,30.259275,0.0,2022
2022-11-27,7.4210835,1.5,10.4565,3.0565,92.324,10.365251,21240.934,2022
2022-11-28,6.629416,0.0,7.2565,4.4065,94.827446,9.726665,0.0,2022
2022-11-29,6.5460835,0.1,8.7565,3.5565,93.79485,8.435069,11744.133,2022
2022-11-30,4.8190002,0.0,6.9564996,2.9065,96.692535,10.483357,15129.665,2022
2022-12-01,4.994,0.3,7.6064997,3.2565,91.59734,20.12461,14979.159,2022
2022-12-02,5.960666,0.0,7.4065,5.1064997,78.85259,24.063513,7200.0,2022
2022-12-03,5.0252504,1.6000001,5.9564996,4.0565,82.49163,21.129885,0.0,2022
2022-12-04,6.3585835,0.0,8.2565,4.5565,83.24543,17.786331,10230.148,2022
2022-12-05,4.6440005,0.0,6.4065,3.1565,87.906166,13.797913,23041.008,2022
2022-12-06,1.0065001,0.0,4.5565,-2.5435,91.646965,11.681987,23385.768,2022
2022-12-07,-1.9310001,0.0,2.7565,-3.9935,90.00715,11.525623,23415.857,2022
2022-12-08,-2.3497498,0.0,2.7065,-4.3435,91.356026,11.27553,23333.084,2022
2022-12-09,-1.9851665,0.0,2.9065,-3.8935,93.169,11.525623,23201.479,2022
2022-12-10,-2.451833,0.70000005,-0.7935,-4.1435003,97.22831,11.384199,2688.0503,2022
2022-12-11,-0.060166683,0.2,1.4565,-2.3435,91.33954,12.413476,6641.2944,2022
2022-12-12,-1.6476666,0.0,0.7065,-3.1935,90.39562,10.853866,1201.6095,2022
2022-12-13,-1.3289168,0.0,0.6565,-4.7435,90.341194,15.683776,21968.533,2022
2022-12-14,-3.0185,0.0,0.7065,-5.1935,83.80886,10.853866,22935.312,2022
2022-12-15,-2.7893333,0.0,1.6065,-5.4935,91.27319,12.287555,22625.795,2022
2022-12-16,-0.8143336,0.0,5.0065,-5.4435,87.93167,16.179985,16967.316,2022
2022-12-17,1.57525,9.9,8.0065,-3.6935,91.972595,30.574575,0.0,2022
2022-12-18,11.673168,4.9,12.8065,8.5565,89.270195,37.30302,0.0,2022
2022-12-19,9.383584,3.4999998,12.606501,3.9565,88.81672,33.043606,21911.37,2022
2022-12-20,6.960667,0.90000004,10.606501,3.5565,91.002205,20.674156,11135.307,2022
2022-12-21,8.0315,0.8000001,11.0065,3.6565,95.92864,18.089775,0.0,2022
2022-12-22,9.385667,7.8,12.7065,7.7064996,90.69785,25.40743,14603.5,2022
2022-12-23,8.391916,0.0,10.8065,5.7064996,91.04306,21.42227,17732.877,2022
2022-12-24,9.814834,0.1,11.0565,8.2565,91.33743,20.746122,7338.173,2022
2022-12-25,6.16275,0.0,9.5065,2.9565,84.20111,25.862436,22593.145,2022
2022-12-26,5.962751,3.8000002,9.856501,1.9065,87.91989,34.65175,9291.783,2022
2022-12-27,10.529416,4.0,11.4065,9.606501,88.84268,37.56786,0.0,2022
2022-12-28,7.9440002,0.3,9.7565,4.9564996,77.92037,33.371437,22468.969,2022
2022-12-29,9.364834,5.8999996,13.1565,4.5565,87.493385,35.747112,998.87976,2022
2022-12-30,12.094001,10.599999,13.1565,9.7065,88.3833,35.812313,0.0,2022
2022-12-31,10.389833,3.9,12.0565,8.6565,82.97284,34.131718,6425.7754,2022
2023-01-01,5.8440013,0.6,8.5065,0.9565,90.53007,15.546833,19938.635,2023
2023-01-02,7.8502507,3.2,12.3065,1.2565,90.84516,37.39324,0.0,2023
2023-01-03,11.906501,0.9000001,13.0565,9.9065,84.79922,35.893642,15733.188,2023
2023-01-04,10.454417,0.1,12.9065,7.7565,87.26871,28.856194,2626.2478,2023
2023-01-05,9.55025,1.2,11.9565,5.7064996,86.8537,32.25166,15546.297,2023
2023-01-06,10.27525,5.0,11.606501,7.2565,84.24953,36.71294,0.0,2023
2023-01-07,7.3190007,1.4000001,8.9065,4.7565,83.0768,28.82249,13619.212,2023
2023-01-08,5.7148337,0.7,8.2565,4.0565,81.57516,25.959969,24044.146,2023
2023-01-09,8.23775,6.3999996,12.5065,3.1565,87.35171,36.659946,0.0,2023
2023-01-10,8.746083,2.5999994,12.0565,6.6064997,82.02747,34.488674,16473.715,2023
2023-01-11,10.454417,5.699999,12.106501,7.1064997,85.93283,40.68159,0.0,2023
2023-01-12,7.4481664,0.0,10.2065,5.0065,73.5937,33.851486,24431.13,2023
2023-01-13,8.896083,11.4,12.106501,5.6565,82.72671,40.449966,3600.0,2023
2023-01-14,4.816916,0.0,7.6565,1.0565,75.32126,29.574827,24570.424,2023
2023-01-15,2.3856666,13.400001,5.0065,-4.0435004,88.410774,27.887802,13319.698,2023
2023-01-16,-2.2476666,0.0,2.4565,-4.6935,87.93576,9.659814,22759.297,2023
2023-01-17,-0.49975014,0.0,4.5065,-3.7435,86.83325,17.208603,25662.73,2023
2023-01-18,-0.3872501,0.0,4.0565,-3.2935,90.0868,10.829959,25841.447,2023
2023-01-19,1.6460832,0.0,5.9564996,-1.1935,85.761406,17.709658,26025.81,2023
2023-01-20,1.2481666,0.0,5.3065,-2.2435,91.30969,11.165805,25432.69,2023
2023-01-21,-1.8330832,0.0,1.5065,-3.5935,94.12632,5.3999996,16980.637,2023
2023-01-22,-1.1893332,0.0,3.2065,-4.1435003,85.659645,6.638072,20440.506,2023
2023-01-23,1.7731667,0.0,4.7565,-1.6935,90.69178,9.565437,22140.309,2023
2023-01-24,0.6085834,1.7000002,5.7064996,-2.3935,94.40256,18.94024,0.0,2023
2023-01-25,4.6815004,0.3,7.8065,2.7065,88.98217,23.688984,11112.237,2023
2023-01-26,4.023167,0.0,7.1064997,-1.4935,83.922585,21.485697,14849.975,2023
2023-01-27,2.1106665,0.0,6.0565,-2.1935,87.67841,11.246759,24186.395,2023
2023-01-28,4.3440003,0.0,8.0565,0.30650002,91.7472,25.294964,10658.197,2023
2023-01-29,6.0273337,0.0,8.9565,1.1065,83.05595,23.452555,27710.82,2023
2023-01-30,6.2044177,0.1,11.4065,1.1565,83.18157,25.56,22552.05,2023
2023-01-31,6.262751,0.0,9.8065,3.2065,78.58818,31.06239,17008.912,2023
2023-02-01,7.6815,0.2,11.106501,4.4065,86.40684,27.0024,11522.435,2023
2023-02-02,9.412751,0.0,12.3065,6.3564997,85.671165,22.702845,24419.012,2023
2023-02-03,7.4065003,0.5,9.4065,4.9564996,86.93816,13.339445,1640.4929,2023
2023-02-04,4.98775,0.0,8.5065,-0.2435,81.22254,16.854767,28145.758,2023
2023-02-05,2.23775,0.0,8.356501,-0.7935,89.04941,11.753877,29682.127,2023
2023-02-06,1.2814997,0.0,5.8564997,-1.2935,93.17096,10.636766,20833.287,2023
2023-02-07,0.4815,0.0,7.2064996,-2.9935,90.05194,12.015589,30141.53,2023
2023-02-08,2.285667,0.0,9.2565,-1.5435,85.27247,11.709688,23295.275,2023
2023-02-09,2.2481668,0.0,7.8564997,-2.8435,87.9609,16.854767,28719.002,2023
2023-02-10,7.9044156,0.0,10.606501,6.1064997,86.93159,12.661564,8392.475,2023
2023-02-11,7.2544174,0.0,9.2065,5.6064997,82.93986,11.966953,4597.027,2023
2023-02-12,5.7648335,0.0,11.4065,1.9065,86.911285,12.57426,30981.953,2023
2023-02-13,5.1044164,0.0,12.8065,0.8565,87.9959,13.755579,31241.936,2023
2023-02-14,6.4627495,0.0,12.9065,1.1065,82.901535,19.33639,30001.38,2023
2023-02-15,9.583583,3.9,12.106501,7.3564997,90.79993,24.344624,0.0,2023
2023-02-16,11.633583,0.1,13.5565,9.356501,86.83691,36.204617,6589.1436,2023
2023-02-17,11.058582,0.70000005,12.8065,8.5565,85.01883,27.276978,0.0,2023
2023-02-18,8.6710825,0.0,12.1565,6.2064996,80.068054,18.514643,31687.13,2023
2023-02-19,9.160666,0.0,12.4065,6.1565,85.07648,27.558228,15914.544,2023
2023-02-20,8.185667,0.0,10.856501,4.5065,89.66924,13.217443,5637.428,2023
2023-02-21,5.9231663,4.1000004,8.5065,3.4565,92.69811,12.6462,540.02905,2023
2023-02-22,5.871083,1.7000002,8.3065,2.2565,83.77239,23.871555,3168.296,2023
2023-02-23,3.9356668,0.0,9.1565,-1.1435,82.595566,15.226764,7066.364,2023
2023-02-24,4.2481666,0.0,7.3065,1.6565,76.44573,26.980793,30693.52,2023
2023-02-25,4.0794168,0.0,7.7064996,1.1065,66.240776,27.598173,23939.371,2023
2023-02-26,3.7689998,0.0,7.6064997,-0.4935,70.900246,20.88,6622.719,2023
2023-02-27,4.5523334,0.70000005,7.9065,0.5565,80.93435,27.345785,9485.101,2023
2023-02-28,5.289834,0.6,7.2064996,3.9065,83.52862,19.228851,3643.0142,2023
